word,num1804,freq1804,num1428,freq1428,freq_diff,num_1421,freq_1421,delta_1421,num_1435,freq_1435,delta_1435,num_1425,freq_1425,delta_1425,num_1462,freq_1462,delta_1462,averaged_delta_mf
慧學,1.0,8.518776507566325e-06,21.0,6.247223205147615e-05,-5.395345554390982e-05,2.0,1.2541799554203704e-05,-4.02302304663738e-06,5.0,1.353161288540933e-05,-5.012836377843006e-06,3.0,1.1574506410318166e-05,-3.0557299027518413e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,-1.3626053340980783e-05
二邊,5.0,4.259388253783162e-05,4.0,1.189947277170974e-05,3.069440976612189e-05,2.0,1.2541799554203704e-05,3.005208298362792e-05,0.0,0.0,4.259388253783162e-05,3.0,1.1574506410318166e-05,3.1019376127513455e-05,0.0,0.0,4.259388253783162e-05,3.53907267905853e-05
空三昧,1.0,8.518776507566325e-06,2.0,5.9497363858548715e-06,2.569040121711453e-06,1.0,6.2708997771018505e-06,2.247876730464474e-06,2.0,5.412645154163732e-06,3.1061313534025926e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,4.992120244142233e-06
行香,7.0,5.963143555296427e-05,0.0,0.0,5.963143555296427e-05,1.0,6.2708997771018505e-06,5.336053577586242e-05,0.0,0.0,5.963143555296427e-05,1.0,3.858168803439388e-06,5.577326674952488e-05,0.0,0.0,5.963143555296427e-05,5.760562183685602e-05
無貪,5.0,4.259388253783162e-05,5.0,1.4874340964637177e-05,2.7719541573194446e-05,0.0,0.0,4.259388253783162e-05,7.0,1.8944258039573064e-05,2.364962449825856e-05,4.0,1.543267521375755e-05,2.7161207324074073e-05,1.0,1.060399834132819e-05,3.198988419650343e-05,3.0622828025972426e-05
宗義,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
五百世,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,6.2708997771018505e-06,2.247876730464474e-06,2.0,5.412645154163732e-06,3.1061313534025926e-06,3.0,1.1574506410318166e-05,-3.0557299027518413e-06,0.0,0.0,8.518776507566325e-06,3.867166239249575e-06
二道,5.0,4.259388253783162e-05,46.0,0.00013684393687466201,-9.425005433683039e-05,4.0,2.5083599108407402e-05,1.751028342942422e-05,18.0,4.871380638747359e-05,-6.11992384964197e-06,1.0,3.858168803439388e-06,3.8735713734392234e-05,6.0,6.362399004796914e-05,-2.103010751013752e-05,-1.3030817706558685e-05
鹿,9.0,7.666898856809692e-05,45.0,0.0001338690686817346,-5.720008011363767e-05,16.0,0.00010033439643362961,-2.3665407865532687e-05,84.0,0.0002273310964748768,-0.0001506621079067799,105.0,0.00040510772436113567,-0.00032843873579303876,44.0,0.0004665759270184403,-0.0003899069384503434,-0.00018997465402586649
犍,12.0,0.00010222531809079591,24.0,7.139683663025843e-05,3.082848146053748e-05,14.0,8.779259687942592e-05,1.443272121136999e-05,19.0,5.1420128964555464e-05,5.0805189126240445e-05,2.0,7.716337606878775e-06,9.450898048391713e-05,12.0,0.00012724798009593828,-2.5022662005142374e-05,3.311054205538454e-05
行住坐臥,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,2.0,7.716337606878775e-06,8.024389006875496e-07,4.0,4.241599336531276e-05,-3.389721685774644e-05,-1.507689686871983e-06
遮難,11.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,19.0,7.330520726534836e-05,2.040133431788121e-05,0.0,0.0,9.370654158322957e-05,7.90455001301599e-05
無足,1.0,8.518776507566325e-06,5.0,1.4874340964637177e-05,-6.3555644570708525e-06,0.0,0.0,8.518776507566325e-06,3.0,8.1189677312456e-06,3.9980877632072525e-07,14.0,5.401436324815142e-05,-4.54955867405851e-05,5.0,5.301999170664096e-05,-4.450121519907464e-05,-1.7486756222568705e-05
觀法,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,4.0,1.0825290308327464e-05,-2.3065138007611395e-06,0.0,0.0,8.518776507566325e-06,5.0,5.301999170664096e-05,-4.450121519907464e-05,-4.250279895427361e-06
外塵,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,0.0,0.0,1.703755301513265e-05,1.6265919254444772e-05
多生,3.0,2.5556329522698967e-05,2.0,5.9497363858548715e-06,1.9606593136844096e-05,0.0,0.0,2.5556329522698967e-05,6.0,1.62379354624912e-05,9.318394060207768e-06,0.0,0.0,2.5556329522698967e-05,1.0,1.060399834132819e-05,1.4952331181370776e-05,1.8997995484764118e-05
祇夜,1.0,8.518776507566325e-06,1.0,2.9748681929274358e-06,5.543908314638889e-06,1.0,6.2708997771018505e-06,2.247876730464474e-06,0.0,0.0,8.518776507566325e-06,3.0,1.1574506410318166e-05,-3.0557299027518413e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,2.233921963231196e-06
身業,3.0,2.5556329522698967e-05,4.0,1.189947277170974e-05,1.3656856750989227e-05,0.0,0.0,2.5556329522698967e-05,9.0,2.43569031937368e-05,1.1994263289621673e-06,6.0,2.3149012820636325e-05,2.407316702062642e-06,17.0,0.00018026797180257926,-0.0001547116422798803,-2.237834259503346e-05
依止師,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,4.0,2.5083599108407402e-05,-1.6564822600841077e-05,10.0,2.706322577081866e-05,-1.8544449263252337e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,2.0,2.120799668265638e-05,-1.2689220175090057e-05,-6.9238215654980425e-06
活,21.0,0.00017889430665889283,81.0,0.0002409643236271222,-6.207001696822937e-05,22.0,0.00013795979509624074,4.093451156265209e-05,98.0,0.0002652196125540229,-8.632530589513005e-05,109.0,0.00042054039957489315,-0.00024164609291600032,29.0,0.0003075159518985176,-0.00012862164523962477,-9.554570989126648e-05
